objectid,collectionid,parentid,display_template,sequence,title,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,language,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,chronological_subject,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rights_management_valueURI,date,date_digital,publisher,publisher_uri,ark,pres_file,filename,image_small,image_thumb,object_location,object_pdf,image_alt_text,object_ocr,object_hocr,object_transcript,avian_id,uid,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,disclaimer,digital_origin,object_thumb,object_location,reference_url
historicalmaps2,historicalmaps,,compound_object,0,"Iowa Agricultural College campus and buildings map, 1896",,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Agricultural College,http://id.loc.gov/authorities/names/n86021134,,,,,,,,,"Map of the Iowa Agricultural College campus and buildings from 1896, including a reference key.",eng,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.6199,WGS 84,,,,,1890s,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,1896,########,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w9c24qn04,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,,,,,,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,,/historicalmaps/items/historicalmaps2.html
historicalmaps0,historicalmaps,historicalmaps2,image,1,Front,,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,RS4-8-0-7b001f001i002.tif,rs4-8-0-7b001f001i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i002.jpg,,,,,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i002.jpg,/historicalmaps/items/historicalmaps2.html#historicalmaps0
historicalmaps1,historicalmaps,historicalmaps2,image,2,Back,,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,RS4-8-0-7b001f001i003.tif,rs4-8-0-7b001f001i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i003.jpg,,,,,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i003.jpg,/historicalmaps/items/historicalmaps2.html#historicalmaps1
historicalmaps7,historicalmaps,,image,0,"Map of agricultural college farm, 1868",,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Agricultural College,http://id.loc.gov/authorities/names/n86021134,,,,,,,,,"Map of Agricultural College Farm including the barn, house, college, and surrounding landscape in 1868.",eng,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03471,-93.6199,WGS 84,,,,,1860s,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,1868,########,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w9zs2kc71,RS4-8-0-7b001f001i001.tif,rs4-8-0-7b001f001i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i001.jpg,,,,,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i001.jpg,/historicalmaps/items/historicalmaps7.html
woiav06989,woi,,video,0,"WOI-TV news clip, August 18, 1975",,Iowa State University. WOI Radio and Television records,https://n2t.net/ark:/87292/w9kj4m,"WOI-TV News Clips, 1921-2013",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"WOI-TV (Television station : Ames, Iowa)",http://id.loc.gov/authorities/names/no93013516,,,,,"Ford, Gerald R., 1913-2006;Ray, Robert D., 1928-2018",http://id.loc.gov/authorities/names/n79022087;http://id.loc.gov/authorities/names/n86057748,,,Clip of a WOI-TV news broadcast featuring Governor Robert Ray introducing President Gerald Ford. Captions unavailable because of poor audio quality.; Annotation: YouTube title: (AV06989) WOI News Clips 114,eng,Politics and government;Corn;Swine,http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/878993;http://id.worldcat.org/fast/1140419,Iowa,http://id.worldcat.org/fast/1205835,,,,,,J.C. Penney Co.,http://id.loc.gov/authorities/names/n50010794,1970s,0:06:52,16mm (photographic film size),http://vocab.getty.edu/aat/300263815,television programs;news bulletins,http://vocab.getty.edu/aat/300263432;http://vocab.getty.edu/aat/300026435,Moving Image,video/vnd.youtube.yt,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,########,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w9m32ng57,https://www.youtube.com/watch?v=QjBeY72JbDg,https://www.youtube.com/watch?v=QjBeY72JbDg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/woi/small/woi_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/woi/thumbs/woi_th.jpg,https://www.youtube.com/watch?v=QjBeY72JbDg,,,,,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/woi/thumbs/woi_th.jpg,https://www.youtube.com/watch?v=QjBeY72JbDg,/woi/items/woiav06989.html
aglit9,aglit,,compound_object,0,Buckeye mower and reaper,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,"Adriance, Platt and Company",,,,,,"Skromme, Lawrence H.;Sizer, Geo. W.",,Wynkoop and Hallenbeck Press,,"Catalog of products related to and including the Buckeye Mower and Reaper offered by Adriance, Platt and Company. Includes list of prices and illustrations of the products and manufacturing plant.",eng,Agricultural machinery;Agricultural instruments;Agriculture;Agricultural literature;Mowing machines,http://id.worldcat.org/fast/801054;http://id.worldcat.org/fast/800942;http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/801050;http://id.worldcat.org/fast/1028551,New York (State)--Poughkeepsie,http://id.worldcat.org/fast/1214704,,,,,,,,1860s,9 pages,,,catalogs (documents),http://vocab.getty.edu/aat/300026059,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,1866,########,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w91z41x47,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i001_th.jpg,,,,,,,,,,,,,,,,reformatted digital; Digitized with Plustek flatbed,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i001_th.jpg,,/aglit/items/aglit9.html
aglit0,aglit,aglit9,image,1,Page 1,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i001.tif,rs21-7-227_001_005i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i001.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit0.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit0.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i001_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i001.jpg,/aglit/items/aglit9.html#aglit0
aglit1,aglit,aglit9,image,2,Page 2,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i002.tif,rs21-7-227_001_005i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i002.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit1.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit1.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i002.jpg,/aglit/items/aglit9.html#aglit1
aglit2,aglit,aglit9,image,3,Page 3,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i003.tif,rs21-7-227_001_005i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i003.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit2.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit2.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i003.jpg,/aglit/items/aglit9.html#aglit2
aglit3,aglit,aglit9,image,4,Page 4,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i004.tif,rs21-7-227_001_005i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i004.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit3.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit3.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i004.jpg,/aglit/items/aglit9.html#aglit3
aglit4,aglit,aglit9,image,5,Page 5,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i005.tif,rs21-7-227_001_005i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i005_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i005.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit4.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit4.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i005_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i005.jpg,/aglit/items/aglit9.html#aglit4
aglit5,aglit,aglit9,image,6,Page 6,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i006.tif,rs21-7-227_001_005i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i006_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i006.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit5.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit5.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i006_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i006.jpg,/aglit/items/aglit9.html#aglit5
aglit6,aglit,aglit9,image,7,Page 7,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i007.tif,rs21-7-227_001_005i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i007_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i007.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit6.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit6.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i007_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i007.jpg,/aglit/items/aglit9.html#aglit6
aglit7,aglit,aglit9,image,8,Page 8,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i008.tif,rs21-7-227_001_005i008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i008_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i008.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit7.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit7.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i008_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i008.jpg,/aglit/items/aglit9.html#aglit7
aglit8,aglit,aglit9,image,9,Page 9,,Lawrence H. Skromme agricultural machinery literature collection,https://n2t.net/ark:/87292/w91f84,,,1,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,RS21-7-227_001_005i009.tif,rs21-7-227_001_005i009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/small/rs21-7-227_001_005i009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i009_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i009.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/ocr/aglit8.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/hocr/aglit8.txt,,,,,,,,,,,reformatted digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/thumbs/rs21-7-227_001_005i009_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/aglit/rs21-7-227_001_005i009.jpg,/aglit/items/aglit9.html#aglit8
eoohav205491,eooh,,audio,0,Interview with Cheryl Clark,,Campus Memories and Memorabilia,https://n2t.net/ark:/87292/w9z60c72q,"Extension and Outreach oral history project, 2021",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,"Clark, Cheryl",,"Barron, Mark",http://id.loc.gov/authorities/names/no2022086689,,,Iowa State University. Extension and Outreach,http://id.loc.gov/authorities/names/no2012052828,Oral history interview conducted by Mark Barron with Cheryl Clark about home economics extension in Iowa.; Annotation: Part of an oral history project with Iowa State staff members who have served more than 40 years.,eng,Home economics extension work;Families;Social change;Universities and colleges--Professional staff,http://id.worldcat.org/fast/959246;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1122310;http://id.worldcat.org/fast/1765626,Iowa,http://id.worldcat.org/fast/1205835,,,,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,,1:21:36,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Sound,audio/mp4,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for educational uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",,########,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w9vt1gv8k,Clark_2021-02-18.mp4;Clark_2021-02-18.txt;Clark_2021-02-18.vtt,clark_2021-02-18.mp4;clark_2021-02-18.txt;clark_2021-02-18.vtt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/eooh/small/extension_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/eooh/thumbs/extension_th.jpg,https://iastate.aviaryplatform.com/c/OH_AV205491,,,,,,,,,,,,,,,born digital,https://isuu00001library102stg.blob.core.windows.net/digital-objects/eooh/thumbs/extension_th.jpg,https://iastate.aviaryplatform.com/c/OH_AV205491,/eooh/items/eoohav205491.html
ce_ca_d2_7940_model,,,3d_model,,Ce.7940,,,,,,,,,,"Laccetti, M.F.",,,,,,,,,,,,Part of Donald E. Crabtree's experiments with heat treating stone. Ce.7940 is a fragment of Ce.7939. This specific experiment had the stone heat treated from 8:00am to 3:00pm in electric furnace peaking at 1700 degrees F. The object is a percussion flake and is associated with Ce.7892-Ce.7939.,,experimental artifacts; lithics,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,,"CC BY-NC 4.0. Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,,,,,,CE_CA_D2_7940_model.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d2_7940-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940-a_th.jpg,https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.jpg,,,,,,,,,,,,,,,,,,
ce_ca_d2_7940_model_mtl,,ce_ca_d2_7940_model,3d_model_child,,,,,,,,,,,,"Laccetti, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/mtl,"CC BY-NC 4.0. Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,,,,,,CE_CA_D2_7940_model.mtl,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d2_7940_model_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940_model_th.jpg,https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.mtl,,,,,,,,,,,,,,,,,,
ce_ca_d2_7940_model_obj,,ce_ca_d2_7940_model,3d_model_child,,,,,,,,,,,,"Laccetti, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/obj,"CC BY-NC 4.0. Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,,,,,,CE_CA_D2_7940_model.obj,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d2_7940_model_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940_model_th.jpg,https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.obj,,,,,,,,,,,,,,,,,,
ce_ca_d2_7940_model_stl,,ce_ca_d2_7940_model,3d_model_child,,,,,,,,,,,,"Laccetti, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/stl,"CC BY-NC 4.0. Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,,,,,,CE_CA_D2_7940_model.stl,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d2_7940_model_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940_model_th.jpg,https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.stl,,,,,,,,,,,,,,,,,,
ce_ca_d2_7940_model_x3d,,ce_ca_d2_7940_model,3d_model_child,,,,,,,,,,,,"Laccetti, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InteractiveResource;3DObject,model/x3d,"CC BY-NC 4.0. Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,,,,,,CE_CA_D2_7940_model.x3d,https://objects.lib.uidaho.edu/crabtree/small/ce_ca_d2_7940_model_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940_model_th.jpg,https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.x3d,,,,,,,,,,,,,,,,,,